74
PID : COMMAND
2690 : /usr/libexec/tracker-miner-user-guides
2696 : /usr/libexec/ibus-engine-simple
2725 : /usr/libexec/tracker-store
2745 : /usr/libexec/evolution-addressbook-factory-subprocess
2841 : /usr/libexec/gvfsd-burn
2847 : /usr/libexec/fwupd/fwupd
2881 : /usr/libexec/gnome-terminal-server
2888 : gnome-pty-helper
2889 : bash
3125 : /usr/libexec/gvfsd-metadata
5355 : [kworker/3:1]
9098 : [kworker/1:2]
10670 : /usr/libexec/xdg-desktop-portal
10675 : /usr/libexec/xdg-document-portal
10686 : /usr/libexec/xdg-desktop-portal-gtk
10962 : gnome-control-center
11564 : [kworker/3:3]
11760 : [kworker/0:1]
11770 : [kworker/3:0]
11863 : [kworker/1:0]
11928 : sleep
11929 : sudo
11931 : /bin/bash
11935 : ps
11936 : awk
15423 : /usr/libexec/bluetooth/obexd
24865 : [kworker/2:0]
25083 : [kworker/u8:2]
